kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/CUDA/always_inline/kernel.cu,PASS,0.139,0.009,0.005,0.255,0.375,0.500,0.626,1.908
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.144,0.009,0.005,0.254,0.375,0.495,0.665,1.949
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.140,0.009,0.005,0.255,0.375,0.537,0.637,1.959
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.157,0.009,0.005,0.296,0.375,0.539,0.635,2.015
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.183,0.009,0.012,0.295,0.415,0.536,0.657,2.108
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.136,0.009,0.005,0.295,0.420,0.656,0.659,2.180
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.147,0.009,0.005,0.295,0.457,0.576,0.717,2.206
/datadrive/gpurepair/Toolchain/testsuite/CUDA/align/kernel.cu,PASS,0.143,0.009,0.005,0.295,0.495,0.583,0.738,2.268
/datadrive/gpurepair/Toolchain/testsuite/Bugged/unnecessary_barrier/kernel.cu,PASS,0.147,0.009,0.005,0.295,0.496,0.616,0.740,2.307
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.149,0.011,0.006,0.255,0.495,0.737,0.631,2.284
/datadrive/gpurepair/Toolchain/testsuite/Bugged/single_line_race/kernel.cu,PASS,0.136,0.008,0.005,0.295,0.497,0.576,0.902,2.419
/datadrive/gpurepair/Toolchain/testsuite/Bugged/race_writeread/kernel.cu,PASS,0.136,0.009,0.005,0.294,0.496,0.616,0.901,2.457
/datadrive/gpurepair/Toolchain/testsuite/Bugged/race/kernel.cu,PASS,0.139,0.008,0.005,0.295,0.500,0.616,0.939,2.504
/datadrive/gpurepair/Toolchain/testsuite/Bugged/divergence/kernel.cu,FAIL(202),0.136,0.008,0.005,0.295,0.496,0.577,1.100,2.617
/datadrive/gpurepair/Toolchain/testsuite/Bugged/multiple_race/kernel.cu,PASS,0.139,0.009,0.004,0.296,0.536,0.621,1.145,2.749
/datadrive/gpurepair/Toolchain/testsuite/Bugged/unrepairable/kernel.cu,FAIL(202),0.177,0.010,0.007,0.297,0.536,0.595,1.145,2.766
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.137,0.014,0.015,0.306,0.456,0.617,0.663,2.207
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.147,0.019,0.008,0.309,0.501,0.656,0.620,2.260
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.143,0.009,0.012,0.256,0.509,0.619,0.660,2.207
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.140,0.013,0.008,0.298,0.502,0.737,0.663,2.360
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.136,0.021,0.010,0.258,0.539,0.619,0.658,2.239
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_while_loop_invariant/kernel.cu,PASS,0.141,0.014,0.008,0.259,0.496,0.621,0.621,2.160
/datadrive/gpurepair/Toolchain/testsuite/CUDA/argument_promotion/kernel.cu,PASS,0.141,0.009,0.006,0.296,0.456,0.576,0.708,2.192
/datadrive/gpurepair/Toolchain/testsuite/CUDA/annotation_tests/test_requires/kernel.cu,PASS,0.138,0.015,0.006,0.295,0.498,0.696,0.657,2.306
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_one/kernel.cu,PASS,0.140,0.009,0.009,0.336,0.496,0.584,0.701,2.276
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_tid/kernel.cu,FAIL(202),0.137,0.009,0.006,0.296,0.496,0.583,0.740,2.267
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/device_global/kernel.cu,PASS,0.150,0.015,0.005,0.269,0.421,0.577,0.662,2.099
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/add_zero/kernel.cu,FAIL(202),0.139,0.017,0.005,0.299,0.459,0.699,0.746,2.364
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/pointer_add/kernel.cu,PASS,0.136,0.011,0.007,0.295,0.462,0.592,0.706,2.209
/datadrive/gpurepair/Toolchain/testsuite/CUDA/barrierconditionalkernelparam/kernel.cu,PASS,0.138,0.009,0.005,0.295,0.416,0.543,0.657,2.062
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/definitions/kernel.cu,PASS,0.138,0.015,0.010,0.295,0.535,0.942,0.982,2.919
/datadrive/gpurepair/Toolchain/testsuite/CUDA/atomics/test_abstraction_enforced/kernel.cu,FAIL(201),0.137,0.009,0.008,0.295,0.502,0.619,1.224,2.794
/datadrive/gpurepair/Toolchain/testsuite/CUDA/basic1/kernel.cu,PASS,0.140,0.032,0.012,0.264,0.381,0.497,0.577,1.903
/datadrive/gpurepair/Toolchain/testsuite/CUDA/casttofloat/kernel.cu,PASS,0.141,0.009,0.008,0.261,0.335,0.502,0.616,1.873
/datadrive/gpurepair/Toolchain/testsuite/CUDA/basicbarrier/kernel.cu,PASS,0.151,0.010,0.006,0.296,0.415,0.541,0.658,2.077
