kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.134,0.009,0.006,0.415,0.501,0.456,1.521
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.137,0.008,0.005,0.377,0.536,0.456,1.520
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.154,0.009,0.004,0.377,0.495,0.499,1.538
/datadrive/gpuverify-tests/CUDA/always_inline/kernel.cu,PASS,0.156,0.009,0.005,0.416,0.496,0.500,1.582
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.136,0.009,0.005,0.418,0.579,0.538,1.684
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.136,0.009,0.006,0.457,0.576,0.539,1.722
/datadrive/gpuverify-tests/Bugged/unnecessary_barrier/kernel.cu,PASS,0.134,0.009,0.005,0.497,0.578,0.540,1.764
/datadrive/gpuverify-tests/Bugged/race/kernel.cu,FAIL(6),0.134,0.009,0.004,0.455,0.539,0.657,1.798
/datadrive/gpuverify-tests/Bugged/divergence/kernel.cu,FAIL(6),0.134,0.008,0.005,0.495,0.536,0.620,1.799
/datadrive/gpuverify-tests/Bugged/race_writeread/kernel.cu,FAIL(6),0.138,0.009,0.005,0.455,0.578,0.616,1.800
/datadrive/gpuverify-tests/Bugged/single_line_race/kernel.cu,FAIL(6),0.134,0.009,0.005,0.501,0.537,0.625,1.810
/datadrive/gpuverify-tests/CUDA/align/kernel.cu,PASS,0.147,0.009,0.005,0.496,0.616,0.538,1.811
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.144,0.015,0.008,0.422,0.656,0.536,1.782
/datadrive/gpuverify-tests/Bugged/unrepairable/kernel.cu,FAIL(6),0.152,0.009,0.005,0.498,0.578,0.618,1.860
/datadrive/gpuverify-tests/Bugged/multiple_race/kernel.cu,FAIL(6),0.134,0.009,0.005,0.455,0.578,0.698,1.880
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.134,0.009,0.007,0.546,0.791,0.497,1.985
/datadrive/gpuverify-tests/CUDA/atomics/device_global/kernel.cu,PASS,0.138,0.009,0.006,0.376,0.495,0.458,1.481
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.148,0.009,0.005,0.458,0.660,0.497,1.777
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.153,0.009,0.005,0.496,0.616,0.497,1.776
/datadrive/gpuverify-tests/CUDA/argument_promotion/kernel.cu,PASS,0.140,0.009,0.006,0.415,0.536,0.497,1.603
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.140,0.009,0.009,0.537,0.617,0.496,1.807
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.146,0.009,0.006,0.504,0.659,0.541,1.864
/datadrive/gpuverify-tests/CUDA/atomics/pointer_add/kernel.cu,PASS,0.134,0.010,0.007,0.418,0.542,0.495,1.607
/datadrive/gpuverify-tests/CUDA/atomics/add_one/kernel.cu,PASS,0.137,0.009,0.005,0.416,0.575,0.580,1.723
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_while_loop_invariant/kernel.cu,PASS,0.140,0.009,0.005,0.496,0.616,0.497,1.762
/datadrive/gpuverify-tests/CUDA/atomics/add_zero/kernel.cu,FAIL(6),0.140,0.009,0.005,0.416,0.536,0.621,1.728
/datadrive/gpuverify-tests/CUDA/atomics/definitions/kernel.cu,PASS,0.138,0.009,0.005,0.417,0.617,0.542,1.728
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.134,0.019,0.005,0.536,0.656,0.505,1.856
/datadrive/gpuverify-tests/CUDA/atomics/add_tid/kernel.cu,FAIL(6),0.135,0.008,0.005,0.416,0.576,0.661,1.801
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_requires/kernel.cu,PASS,0.145,0.022,0.009,0.495,0.696,0.536,1.902
/datadrive/gpuverify-tests/CUDA/atomics/test_abstraction_enforced/kernel.cu,FAIL(6),0.135,0.009,0.010,0.459,0.577,0.656,1.845
/datadrive/gpuverify-tests/CUDA/barrierconditionalkernelparam/kernel.cu,PASS,0.134,0.009,0.005,0.415,0.579,0.582,1.724
/datadrive/gpuverify-tests/CUDA/basic1/kernel.cu,PASS,0.136,0.009,0.006,0.343,0.497,0.464,1.454
/datadrive/gpuverify-tests/CUDA/casttofloat/kernel.cu,PASS,0.142,0.017,0.007,0.335,0.460,0.462,1.423
/datadrive/gpuverify-tests/CUDA/basicbarrier/kernel.cu,PASS,0.135,0.011,0.008,0.385,0.537,0.504,1.581
/datadrive/gpuverify-tests/CUDA/basicglobalarray/kernel.cu,PASS,0.138,0.011,0.006,0.418,0.536,0.542,1.651
