kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/CUDA/always_inline/kernel.cu,PASS,0.135,0.016,0.006,0.415,0.499,0.462,1.533
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_at_most_one/kernel.cu,PASS,0.134,0.010,0.005,0.376,0.496,0.500,1.522
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_all/kernel.cu,PASS,0.136,0.009,0.006,0.415,0.537,0.457,1.560
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_assume/kernel.cu,PASS,0.135,0.009,0.004,0.375,0.535,0.538,1.597
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_axiom/kernel.cu,PASS,0.134,0.009,0.005,0.420,0.536,0.500,1.604
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_assert/kernel.cu,PASS,0.134,0.016,0.007,0.419,0.497,0.578,1.651
/datadrive/gpuverify-tests/CUDA/align/kernel.cu,PASS,0.134,0.009,0.007,0.496,0.576,0.539,1.760
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_contract/kernel.cu,PASS,0.105,0.009,0.004,0.415,0.619,0.577,1.729
/datadrive/gpuverify-tests/Bugged/unnecessary_barrier/kernel.cu,PASS,0.134,0.009,0.005,0.496,0.580,0.557,1.782
/datadrive/gpuverify-tests/Bugged/single_line_race/kernel.cu,FAIL(6),0.135,0.009,0.005,0.459,0.539,0.643,1.790
/datadrive/gpuverify-tests/Bugged/race_writeread/kernel.cu,FAIL(6),0.137,0.009,0.005,0.460,0.539,0.665,1.815
/datadrive/gpuverify-tests/Bugged/divergence/kernel.cu,FAIL(6),0.134,0.009,0.005,0.498,0.535,0.666,1.847
/datadrive/gpuverify-tests/Bugged/race/kernel.cu,FAIL(6),0.134,0.009,0.005,0.455,0.581,0.661,1.846
/datadrive/gpuverify-tests/Bugged/unrepairable/kernel.cu,FAIL(6),0.137,0.009,0.004,0.496,0.576,0.659,1.881
/datadrive/gpuverify-tests/Bugged/multiple_race/kernel.cu,FAIL(6),0.134,0.009,0.005,0.496,0.575,0.696,1.916
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_distinct/kernel.cu,PASS,0.144,0.010,0.006,0.535,0.740,0.503,1.937
/datadrive/gpuverify-tests/CUDA/atomics/device_global/kernel.cu,PASS,0.136,0.009,0.005,0.379,0.495,0.455,1.481
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_enabled_and_uniform/kernel.cu,PASS,0.149,0.009,0.005,0.495,0.618,0.536,1.811
/datadrive/gpuverify-tests/CUDA/argument_promotion/kernel.cu,PASS,0.135,0.009,0.005,0.415,0.535,0.496,1.595
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_ensures/kernel.cu,PASS,0.139,0.009,0.005,0.456,0.661,0.546,1.817
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_for_loop_invariant/kernel.cu,PASS,0.151,0.009,0.006,0.496,0.657,0.500,1.817
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_requires/kernel.cu,PASS,0.134,0.009,0.012,0.499,0.657,0.511,1.822
/datadrive/gpuverify-tests/CUDA/atomics/add_one/kernel.cu,PASS,0.140,0.015,0.006,0.419,0.576,0.586,1.742
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_while_loop_invariant/kernel.cu,PASS,0.135,0.016,0.005,0.459,0.658,0.498,1.772
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_norace/kernel.cu,PASS,0.136,0.023,0.006,0.542,0.663,0.538,1.908
/datadrive/gpuverify-tests/CUDA/atomics/add_tid/kernel.cu,FAIL(6),0.134,0.009,0.005,0.456,0.538,0.617,1.758
/datadrive/gpuverify-tests/CUDA/atomics/definitions/kernel.cu,PASS,0.137,0.009,0.009,0.415,0.617,0.537,1.723
/datadrive/gpuverify-tests/CUDA/barrierconditionalkernelparam/kernel.cu,PASS,0.134,0.009,0.005,0.415,0.545,0.499,1.607
/datadrive/gpuverify-tests/CUDA/annotation_tests/test_no_readwrite/kernel.cu,PASS,0.181,0.009,0.005,0.536,0.656,0.576,1.963
