mhs	maxsat	label
1.61	2.62	a
3.65	3.01	a
2.97	2.93	a
3.06	3.10	a
2.97	2.93	a
2.93	2.93	a
3.22	3.18	a
2.93	2.93	a
1.53	1.53	a
1.68	1.69	a
6.58	5.02	a
6.54	5.10	a
24.24	13.70	a
3.05	2.93	a
59.53	128.14	a
3.01	3.01	a
21.78	77.32	a
300.00	300.00	a
4.01	4.06	a
4.13	3.21	a
3.98	3.94	a
4.12	4.12	a
3.97	3.98	a
2.97	2.93	a
2.93	2.93	a
1.53	1.53	a
1.53	1.52	a
1.24	1.25	a
1.29	1.28	a
1.28	1.25	a
1.29	1.28	a
1.28	1.25	a
1.49	1.45	a
1.41	1.37	a
1.57	1.57	a
1.45	1.45	a
1.49	1.49	a
1.53	1.52	a
1.49	1.45	a
1.49	1.45	a
1.53	1.53	a
1.49	1.49	a
1.49	1.45	a
1.57	1.49	a
1.49	1.57	a
1.57	1.57	a
2.47	2.31	a
1.37	1.32	a
1.45	1.41	a
6.46	6.51	a
1.37	1.37	a
1.20	1.16	a
1.33	1.28	a
1.41	1.36	a
1.17	1.16	a
1.85	1.81	a
1.69	1.77	a
1.20	1.16	a
10.20	11.08	a
41.10	116.15	a
47.55	160.72	a
41.20	94.27	a
1.61	1.49	a
1.57	1.57	a
1.53	1.44	a
1.45	1.49	a
1.33	1.28	a
1.29	1.28	a
1.53	1.53	a
1.49	1.53	a
1.49	1.52	a
1.57	1.52	a
1.49	1.53	a
1.48	1.48	a
1.53	1.49	a
1.49	1.45	a
1.49	1.45	a
3.18	3.21	a
3.13	3.09	a
3.26	3.21	a
3.17	3.13	a
1.93	1.86	a
3.35	3.37	a
3.05	3.13	a
3.25	3.13	a
3.42	3.26	a
3.25	3.33	a
5.82	6.22	a
1.41	1.37	a
3.85	3.86	a
3.13	3.13	a
3.41	3.33	a
0.11	0.11	a
5.46	5.42	a
1.21	1.16	a
1.29	1.21	a
1.48	1.37	a
1.45	1.40	a
2.89	2.93	a
