mhs	sat	label
1.61	1.61	a
3.65	3.01	a
2.97	2.93	a
3.06	2.93	a
2.97	2.93	a
2.93	2.97	a
3.22	3.13	a
2.93	2.93	a
1.53	1.57	a
1.68	1.65	a
6.58	6.50	a
6.54	3.14	a
24.24	16.29	a
3.05	3.01	a
59.53	300.00	a
3.01	3.09	a
21.78	7.72	a
300.00	15.98	a
4.01	3.17	a
4.13	3.17	a
3.98	3.97	a
4.12	3.97	a
3.97	3.98	a
2.97	2.97	a
2.93	2.93	a
1.53	1.52	a
1.53	1.53	a
1.24	1.25	a
1.29	1.32	a
1.28	1.28	a
1.29	1.28	a
1.28	1.24	a
1.49	1.49	a
1.41	1.45	a
1.57	1.61	a
1.45	1.49	a
1.49	1.53	a
1.53	1.57	a
1.49	1.53	a
1.49	1.49	a
1.53	1.49	a
1.49	1.49	a
1.49	1.41	a
1.57	1.57	a
1.49	1.53	a
1.57	1.53	a
2.47	2.37	a
1.37	1.40	a
1.45	1.49	a
6.46	8.55	a
1.37	1.44	a
1.20	1.21	a
1.33	1.36	a
1.41	1.44	a
1.17	1.20	a
1.85	1.85	a
1.69	1.77	a
1.20	1.24	a
10.20	11.08	a
41.10	111.69	a
47.55	89.16	a
41.20	97.72	a
1.61	1.53	a
1.57	1.61	a
1.53	1.56	a
1.45	1.52	a
1.33	1.28	a
1.29	1.33	a
1.53	1.57	a
1.49	1.57	a
1.49	1.49	a
1.57	1.53	a
1.49	1.53	a
1.48	1.45	a
1.53	1.53	a
1.49	1.49	a
1.49	1.49	a
3.18	3.30	a
3.13	3.13	a
3.26	3.29	a
3.17	3.17	a
1.93	1.89	a
3.35	3.37	a
3.05	3.13	a
3.25	3.17	a
3.42	3.17	a
3.25	3.21	a
5.82	144.00	a
1.41	1.41	a
3.85	4.34	a
3.13	3.21	a
3.41	3.41	a
0.11	0.11	a
5.46	5.42	a
1.21	1.16	a
1.29	1.20	a
1.48	1.44	a
1.45	1.45	a
2.89	2.93	a
1.61	1.61	a
1.52	1.53	a
11.44	14.49	a
28.87	114.69	a
5.14	3.29	a
1.65	1.69	a
1.69	1.65	a
7.19	5.22	a
2.69	2.69	a
2.77	2.73	a
0.11	0.11	a
1.45	1.41	a
1.46	1.41	a
1.45	1.41	a
1.45	1.41	a
1.44	1.41	a
1.21	1.28	a
1.20	1.33	a
1.41	1.41	a
1.61	1.69	a
2.77	2.81	a
0.11	0.11	a
0.11	0.11	a
1.53	1.53	a
0.13	0.09	a
1.23	1.27	a
3.09	3.09	a
3.01	2.93	a
2.89	2.89	a
1.53	1.57	a
3.05	3.17	a
2.73	2.85	a
3.35	4.17	a
1.45	1.44	a
2.89	2.81	a
1.69	1.69	a
1.40	1.45	a
1.37	1.40	a
1.24	1.33	a
1.85	1.89	a
1.57	1.53	a
1.24	1.20	a
1.17	1.29	a
1.24	1.16	a
1.33	1.28	a
3.05	3.13	a
1.20	1.24	a
3.01	3.01	a
2.73	2.65	a
12.61	13.58	a
1.40	1.45	a
1.61	1.57	a
1.61	1.65	a
1.49	1.45	a
1.69	1.61	a
1.65	1.57	a
3.01	2.89	a
300.00	300.00	a
1.53	1.49	a
1.41	1.37	a
1.48	1.60	a
1.52	1.49	a
1.57	1.52	a
1.48	1.41	a
1.40	1.49	a
1.57	1.57	a
1.81	1.81	a
1.53	1.56	a
1.37	1.21	a
1.41	1.48	a
1.41	1.45	a
1.61	1.64	a
1.61	1.57	a
1.57	1.65	a
1.21	1.21	a
1.48	1.52	a
1.49	1.40	a
1.45	1.41	a
1.49	1.41	a
2.85	4.94	a
2.09	2.05	a
0.11	0.11	a
0.11	0.11	a
4.70	4.69	a
1.28	1.28	a
1.36	1.40	a
1.61	1.65	a
1.20	1.24	a
1.49	1.45	a
1.49	1.53	a
1.49	1.49	a
1.25	1.28	a
9.00	5.38	a
1.36	1.33	a
1.45	1.45	a
1.69	1.73	a
6.55	3.01	a
3.01	3.01	a
3.17	3.21	a
123.27	300.00	a
3.17	3.13	a
26.60	44.80	a
1.61	1.57	a
74.32	42.45	a
4.46	7.44	a
3.09	3.21	a
32.70	44.99	a
20.38	24.87	a
6.10	5.86	a
8.39	10.79	a
1.69	1.65	a
1.69	1.61	a
194.60	138.53	a
12.84	12.21	a
13.53	49.52	a
300.00	300.00	a
71.71	65.73	a
3.25	3.17	a
52.03	48.93	a
300.00	300.00	a
41.10	46.05	a
300.00	300.00	a
66.75	70.73	a
21.32	32.92	a
300.00	300.00	a
24.85	300.00	a
19.30	300.00	a
10.56	19.59	a
20.24	38.23	a
21.84	25.53	a
8.51	8.39	a
194.48	235.75	a
189.65	64.54	a
235.19	168.70	a
300.00	300.00	a
300.00	300.00	a
3.97	6.50	a
300.00	300.00	a
6.86	8.79	a
300.00	300.00	a
2.13	2.17	a
21.41	33.02	a
1.93	1.85	a
300.00	300.00	a
2.37	2.33	a
300.00	300.00	a
300.00	300.00	a
3.89	3.82	a
3.17	3.05	a
18.42	25.25	a
9.99	9.91	a
17.71	109.86	a
35.61	28.17	a
3.49	3.57	a
33.68	19.10	a
200.98	300.00	a
1.45	1.45	a
12.76	300.00	a
1.48	1.45	a
5.07	3.21	a
3.09	3.13	a
10.61	16.62	a
2.97	2.97	a
14.26	68.17	a
3.05	3.01	a
5.62	7.15	a
29.64	10.12	a
4.10	1.49	a
1.49	1.45	a
1.45	1.45	a
2.89	2.89	a
1.57	1.49	a
1.45	1.45	a
1.61	1.61	a
1.69	1.65	a
1.61	1.61	a
1.73	1.69	a
4.10	3.98	a
1.41	1.37	a
2.89	2.85	a
2.86	3.05	a
1.39	1.39	a
1.15	1.19	a
2.89	2.89	a
1.27	1.31	a
1.61	1.65	a
1.27	1.27	a
1.61	1.61	a
0.66	0.66	a
0.66	0.66	a
0.66	0.66	a
0.66	0.66	a
1.65	1.66	a
1.89	2.01	a
1.53	1.61	a
1.89	1.89	a
5.89	5.68	a
1.47	1.47	a
1.65	1.73	a
1.65	1.69	a
1.69	1.65	a
1.65	1.69	a
1.49	1.41	a
1.53	1.45	a
1.37	1.45	a
1.57	1.45	a
1.41	1.37	a
1.65	1.61	a
1.85	1.81	a
1.69	1.57	a
1.53	1.53	a
1.69	1.73	a
1.65	1.65	a
1.65	1.65	a
1.45	1.37	a
1.65	1.61	a
1.97	1.93	a
1.69	1.65	a
1.65	1.65	a
1.45	1.45	a
1.49	1.45	a
1.77	1.77	a
1.65	1.57	a
3.01	3.05	a
1.65	1.57	a
3.09	3.05	a
1.41	1.37	a
3.05	3.05	a
1.69	1.69	a
1.65	1.61	a
1.65	1.57	a
3.09	3.09	a
1.65	1.73	a
3.05	3.05	a
3.05	3.01	a
1.77	1.69	a
3.13	3.17	a
1.65	1.61	a
3.05	3.01	a
1.69	1.57	a
3.05	3.01	a
1.61	1.61	a
1.61	1.61	a
3.05	3.01	a
1.65	1.57	a
3.14	3.09	a
3.05	3.01	a
3.17	3.05	a
2.05	2.01	a
3.05	3.09	a
1.69	1.65	a
3.09	3.09	a
7.19	5.74	a
3.49	3.53	a
1.39	1.35	a
3.17	3.33	a
4.50	2.61	a
19.67	7.87	a
3.09	3.13	a
8.55	11.13	a
3.33	3.33	a
46.65	192.47	a
65.03	36.65	a
12.04	9.96	a
300.00	300.00	a
1.23	1.31	a
1.19	1.23	a
0.27	0.27	a
3.53	3.45	a
3.21	3.21	a
4.46	2.58	a
2.41	4.50	a
39.35	300.00	a
3.29	3.25	a
20.98	238.46	a
6.74	66.14	a
70.49	7.58	a
36.89	130.63	a
3.05	3.01	a
3.06	3.09	a
2.49	2.41	a
1.57	1.57	a
2.45	2.45	a
2.49	2.45	a
3.09	3.13	a
0.62	0.62	a
3.33	3.25	a
1.57	1.65	a
1.57	1.65	a
1.73	1.77	a
1.57	1.69	a
4.18	4.22	a
3.97	3.97	a
1.69	1.65	a
1.57	1.57	a
3.53	3.53	a
1.61	1.65	a
2.29	2.25	a
1.69	1.76	a
3.13	3.13	a
1.69	1.73	a
3.13	3.17	a
3.79	4.74	a
8.67	13.36	a
6.07	6.19	a
3.57	3.65	a
1.47	1.47	a
3.29	3.33	a
3.05	3.17	a
1.75	1.75	a
1.65	1.65	a
3.09	3.09	a
1.65	1.69	a
2.25	2.29	a
3.41	3.46	a
4.57	4.61	a
1.69	1.69	a
3.25	3.21	a
1.57	1.61	a
1.41	1.41	a
1.45	1.49	a
1.57	1.61	a
3.09	3.09	a
3.09	3.13	a
3.09	3.05	a
1.65	1.57	a
1.69	1.69	a
1.61	1.61	a
1.65	1.69	a
1.61	1.65	a
1.89	1.85	a
1.57	1.61	a
1.65	1.65	a
1.61	1.57	a
1.37	1.37	a
1.37	1.33	a
1.41	1.33	a
1.41	1.33	a
1.33	1.33	a
1.49	1.53	a
1.45	1.37	a
1.53	1.49	a
1.37	1.37	a
1.81	1.77	a
0.58	0.58	a
0.58	0.58	a
1.81	1.81	a
1.81	1.77	a
1.45	1.36	a
1.65	1.61	a
1.57	1.57	a
1.73	1.77	a
1.57	1.61	a
3.01	3.01	a
1.61	1.57	a
4.20	4.32	a
1.41	1.45	a
1.61	1.57	a
3.25	3.29	a
3.25	3.33	a
3.25	3.30	a
3.33	3.29	a
3.29	3.29	a
3.33	3.29	a
2.93	2.93	a
1.41	1.49	a
1.33	1.33	a
1.33	1.41	a
1.49	1.49	a
1.61	1.77	a
1.61	1.69	a
1.65	1.65	a
2.85	2.93	a
0.27	0.27	a
0.27	0.27	a
0.27	0.27	a
0.27	0.27	a
4.05	4.50	a
2.55	2.60	a
1.43	1.39	a
1.37	1.37	a
1.65	1.65	a
1.41	1.37	a
1.37	1.37	a
1.37	1.41	a
1.37	1.41	a
1.65	1.69	a
3.29	3.37	a
1.69	1.77	a
1.65	1.69	a
300.00	300.00	a
1.85	1.97	a
1.65	1.61	a
1.65	1.69	a
1.57	1.49	a
1.85	1.81	a
2.88	2.92	a
5.93	6.12	a
1.73	1.73	a
1.65	1.65	a
1.65	1.73	a
1.69	1.73	a
3.17	3.17	a
3.17	3.17	a
1.61	1.57	a
3.09	3.13	a
3.09	3.09	a
3.05	3.06	a
3.06	3.13	a
3.09	3.18	a
3.13	3.17	a
3.05	3.09	a
1.57	1.57	a
1.61	1.69	a
3.21	3.13	a
3.09	3.13	a
3.17	3.25	a
