gpurepair	autosync	label
1.61	2.70	a
3.33	300.00	a
2.93	2.62	a
3.10	300.00	a
2.93	2.52	a
3.18	10.80	a
3.05	300.00	a
1.69	300.00	a
6.67	300.00	a
6.59	300.00	a
26.82	7.47	a
3.01	300.00	a
60.39	15.79	a
3.09	300.00	a
22.45	6.35	a
300.00	5.75	a
4.05	300.00	a
4.09	300.00	a
3.94	300.00	a
3.94	300.00	a
2.98	300.00	a
1.53	300.00	a
1.53	300.00	a
11.12	300.00	a
41.16	300.00	a
47.57	300.00	a
41.21	300.00	a
1.49	300.00	a
1.53	300.00	a
1.49	300.00	a
1.57	300.00	a
1.62	300.00	a
1.56	300.00	a
1.61	300.00	a
5.42	300.00	a
1.61	4.03	a
11.45	300.00	a
30.82	300.00	a
5.22	300.00	a
7.19	300.00	a
3.05	300.00	a
3.05	300.00	a
1.58	300.00	a
3.05	5.52	a
13.22	300.00	a
300.00	6.74	a
6.59	300.00	a
3.01	300.00	a
76.59	8.53	a
32.90	26.95	a
21.00	18.52	a
6.30	4.56	a
194.06	43.64	a
13.76	5.57	a
14.34	5.53	a
300.00	22.68	a
73.05	4.36	a
3.22	2.94	a
300.00	152.14	a
40.72	28.38	a
300.00	300.00	a
66.46	300.00	a
21.45	7.44	a
300.00	300.00	a
10.75	5.73	a
25.49	300.00	a
21.32	300.00	a
8.52	5.48	a
209.62	300.00	a
199.66	34.71	a
286.94	77.07	a
300.00	300.00	a
300.00	300.00	a
3.98	4.54	a
300.00	300.00	a
7.03	8.24	a
300.00	300.00	a
2.29	4.13	a
21.00	7.61	a
300.00	300.00	a
300.00	300.00	a
5.14	5.47	a
3.13	2.62	a
10.68	5.13	a
3.05	2.53	a
14.37	8.71	a
3.02	2.56	a
5.66	5.93	a
29.76	9.26	a
