gpurepair	autosync	label
1.61	2.70	a
3.33	300.00	a
2.93	2.62	a
3.10	300.00	a
2.97	1.29	a
2.93	2.52	a
3.18	10.80	a
3.05	300.00	a
1.53	1.25	a
1.69	300.00	a
6.67	300.00	a
6.59	300.00	a
26.82	7.47	a
3.01	300.00	a
60.39	15.79	a
3.09	300.00	a
22.45	6.35	a
300.00	5.75	a
4.05	300.00	a
4.09	300.00	a
3.94	300.00	a
4.10	1.28	a
3.94	300.00	a
2.97	1.28	a
2.98	300.00	a
1.57	1.34	a
1.53	1.26	a
1.25	1.13	a
1.32	1.14	a
1.33	1.11	a
1.37	1.15	a
1.33	1.12	a
1.49	1.27	a
1.37	1.26	a
1.57	1.32	a
1.53	1.28	a
1.49	1.27	a
1.57	1.41	a
1.49	1.35	a
1.53	1.28	a
1.61	1.35	a
1.57	1.38	a
1.53	1.27	a
1.49	300.00	a
1.53	300.00	a
1.53	300.00	a
2.54	1.26	a
1.41	1.14	a
1.49	1.22	a
1.45	1.20	a
1.25	1.15	a
1.36	1.21	a
1.45	1.15	a
1.21	1.10	a
1.85	1.67	a
1.77	1.44	a
1.16	1.09	a
11.12	300.00	a
41.16	300.00	a
47.57	300.00	a
41.21	300.00	a
1.53	1.23	a
1.57	1.31	a
1.49	300.00	a
1.53	300.00	a
1.37	1.15	a
1.29	1.12	a
1.49	300.00	a
1.57	300.00	a
1.62	300.00	a
1.56	300.00	a
1.61	300.00	a
1.45	1.23	a
1.53	1.23	a
1.49	1.27	a
1.49	1.29	a
3.17	1.47	a
3.30	1.42	a
1.97	300.00	a
3.34	1.58	a
3.21	1.49	a
3.29	0.05	a
1.41	1.30	a
3.82	1.45	a
3.25	1.44	a
5.42	300.00	a
1.29	1.06	a
1.21	1.14	a
1.44	1.11	a
1.48	1.21	a
2.93	1.27	a
1.61	4.03	a
1.53	1.24	a
11.45	300.00	a
30.82	300.00	a
5.22	300.00	a
1.68	1.22	a
1.69	1.30	a
7.19	300.00	a
1.48	1.24	a
1.45	1.22	a
1.53	1.22	a
1.49	1.18	a
1.49	1.21	a
1.29	1.09	a
1.25	1.13	a
1.45	1.14	a
1.65	1.22	a
1.53	1.26	a
3.05	300.00	a
3.05	300.00	a
1.58	300.00	a
3.38	1.45	a
1.45	1.26	a
1.65	300.00	a
1.41	1.22	a
1.40	1.12	a
1.33	1.11	a
1.93	1.32	a
1.53	1.35	a
1.25	1.12	a
1.20	1.11	a
1.16	1.07	a
1.32	1.19	a
3.05	1.39	a
1.17	1.10	a
3.05	5.52	a
13.22	300.00	a
1.45	1.23	a
1.65	1.26	a
1.65	1.35	a
1.45	1.15	a
1.65	1.29	a
1.65	1.27	a
2.93	1.55	a
300.00	6.74	a
1.49	1.24	a
1.49	1.20	a
1.57	1.24	a
1.52	1.23	a
1.53	1.34	a
1.48	1.21	a
1.49	1.15	a
1.65	1.43	a
1.81	1.46	a
1.45	1.18	a
1.33	1.22	a
1.49	1.19	a
1.48	1.26	a
1.57	1.28	a
1.73	1.33	a
1.57	1.36	a
1.24	1.10	a
1.45	1.27	a
1.49	1.17	a
1.44	1.23	a
1.45	1.30	a
2.85	1.83	a
2.13	1.43	a
4.66	300.00	a
1.32	1.21	a
1.45	1.23	a
1.65	1.32	a
1.16	1.04	a
1.49	1.22	a
1.61	1.28	a
1.49	1.22	a
1.36	1.17	a
9.11	1.59	a
1.33	1.22	a
1.53	1.15	a
1.84	1.38	a
6.59	300.00	a
3.01	300.00	a
128.20	300.00	a
3.17	1.31	a
27.95	300.00	a
1.56	1.23	a
76.59	8.53	a
4.54	1.46	a
3.13	1.36	a
32.90	26.95	a
21.00	18.52	a
6.30	4.56	a
8.75	3.03	a
1.61	1.27	a
1.73	1.32	a
194.06	43.64	a
13.76	5.57	a
14.34	5.53	a
300.00	22.68	a
73.05	4.36	a
3.22	2.94	a
300.00	152.14	a
40.72	28.38	a
300.00	300.00	a
66.46	300.00	a
21.45	7.44	a
300.00	300.00	a
26.61	3.01	a
20.14	1.50	a
10.75	5.73	a
25.49	300.00	a
21.32	300.00	a
8.52	5.48	a
209.62	300.00	a
199.66	34.71	a
286.94	77.07	a
300.00	300.00	a
300.00	300.00	a
3.98	4.54	a
300.00	300.00	a
7.03	8.24	a
300.00	300.00	a
2.29	4.13	a
21.00	7.61	a
1.97	1.50	a
300.00	300.00	a
2.33	1.39	a
300.00	1.59	a
300.00	300.00	a
3.98	2.98	a
3.21	1.85	a
18.46	3.99	a
9.95	5.49	a
17.85	2.43	a
35.64	6.67	a
3.57	3.15	a
33.91	6.77	a
235.78	1.76	a
1.49	1.31	a
13.33	1.42	a
1.49	1.31	a
5.14	5.47	a
3.13	2.62	a
10.68	5.13	a
3.05	2.53	a
14.37	8.71	a
3.02	2.56	a
5.66	5.93	a
29.76	9.26	a
